CropCode,ClimateCode,PlantingYear,TechnologyKey,INTENSITY_ADOPT_AREA,PRODUCTION_ADOPT_AREA,cum_PRODUCTION_ADOPT_AREA,GWP_ADOPT_AREA,cum_GWP_ADOPT_AREA,IMPACT_ADOPT_AREA,IMPACT_HarvestArea,IMPACT_base_HarvestArea,cum_CO2,cum_N2O,cum_CH4
MZ,gfdl,2005,best,-0.109734027,50082575317,500825753167,-20181323400,-2.018132E11,110680941.57,144789248.34,143192599.74,-3.386922E11,136878945721,0
MZ,gfdl,2020,best,-0.069911968,54312549851,1.0439513E12,-8644670563,-1.927705E11,116177490.79,152452982.31,150909654.45,-4.864055E11,293634991670,0
MZ,gfdl,2030,best,-0.051568437,56920041569,1.6131517E12,-3077108436,-96878203815,121821403.03,160302619.75,158715469.9,-5.396132E11,442734962877,0
MZ,gfdl,2050,best,-0.038640842,61413023320,2.2272819E12,1436689396.9,57146554650,126003306.5,166395471.14,164763381.44,-5.332737E11,590420290912,0
MZ,hadgem,2005,best,-0.107153376,50073815739,500738157394,-18942251874,-1.894225E11,113843674.38,147772782.91,146244663.36,-3.087576E11,119335078323,0
MZ,hadgem,2020,best,-0.063874824,55096165815,1.0516998E12,-6271727885,-1.451448E11,120548579.79,157437725.78,156197180.06,-4.035253E11,258380438763,0
MZ,hadgem,2030,best,-0.050236343,58182683069,1.6335266E12,211586869.21,-13561572756,126270256.38,165880207.17,164947643.56,-4.110868E11,397525247561,0
MZ,hadgem,2050,best,-0.039827055,60190613989,2.2354328E12,1552530194.1,135091922562,129967681.37,171889579.4,171236659.66,-3.706115E11,505703425148,0
RI,gfdl,2005,best,-0.455848729,107857590647,1.0785759E12,-54827935078,-5.482794E11,78247145.51,129081966.43,133981315.79,-9.420184E11,-11407302267,405146358170
RI,gfdl,2020,best,-0.530634363,111051374893,2.1890897E12,-55047919124,-1.109187E12,79100502.075,128965400.9,134214907.3,-1.904893E12,-59723289968,855429619726
RI,gfdl,2030,best,-0.576828152,115934846800,3.3484381E12,-54489328147,-1.647737E12,79807254.836,128503274.27,133609356.6,-2.847825E12,-89614785704,1.2897029E12
RI,gfdl,2050,best,-0.600286377,112648153502,4.4749197E12,-62232551648,-2.250923E12,80644652.948,128182351.55,133050040.46,-3.771581E12,-2.011099E11,1.7217677E12
RI,hadgem,2005,best,-0.495871198,106427818414,1.0642782E12,-58505055379,-5.850506E11,75118353.802,133879993.5,139453928.41,-9.839164E11,-843353894.4,399709203266
RI,hadgem,2020,best,-0.539784973,106753663445,2.1318148E12,-60368263624,-1.15093E12,75848639.94,133709464.06,139761091.57,-1.892226E12,-82330808115,823627084236
RI,hadgem,2030,best,-0.587030663,110096233469,3.2327772E12,-56014194139,-1.674305E12,76394261.046,133125428.62,139126012.71,-2.783189E12,-1.251868E11,1.2340708E12
RI,hadgem,2050,best,-0.624220275,109090317978,4.3236803E12,-61245329150,-2.242877E12,77054120.389,132671487.66,138476415.3,-3.652411E12,-2.367286E11,1.646262E12
WH,gfdl,2005,best,-0.047614408,35539761698,355397616980,-2403951909,-24039519088,160871086.93,204658324.9,206590258.14,-1.14413E11,90373506750,0
WH,gfdl,2020,best,-0.039414173,37818302985,733580646832,-3443885028,-6773816491,161922712.39,205974916.85,208431783.08,-1.254169E11,118643129438,0
WH,gfdl,2030,best,-0.014318366,43473484544,1.1683155E12,3354068945.3,110530597473,161664929.59,205722533.96,208517589.38,-62479832126,173010429599,0
WH,gfdl,2050,best,-0.064197472,39008996240,1.5584055E12,711776457.69,182941910655,160918461.58,204948325.22,207956975.97,3751621972,179190288683,0
WH,hadgem,2005,best,-0.034544703,40681150709,406811507086,2957773245,29577732450,161865701.67,196171604.55,198236547.04,-1.094852E11,139062889308,0
WH,hadgem,2020,best,0.0063584993,43698515922,843796666304,7713554664.8,172584975027,163018507.38,197288844.73,199934990.7,-87226921856,259811896883,0
WH,hadgem,2030,best,0.0087553361,49690926706,1.3407059E12,11717025253,364041228311,164331139.08,198659759.76,201663665.46,-19411381652,383452609963,0
WH,hadgem,2050,best,0.0388128703,47413532472,1.8148413E12,17656717234,607221697538,166125349.76,200666741.84,204339079.74,62935886985,544285810553,0
